t(i)		  Euler		 opt.Euler	 Runge		 f(i)
0.000000	1.000000	1.000000	1.000000	1.000000
0.100000	1.240000	1.259000	1.260330	1.271403
0.200000	1.518000	1.563980	1.567227	1.591825
0.300000	1.841600	1.925056	1.931001	1.972119
0.400000	2.219920	2.354568	2.364245	2.425541
0.500000	2.663904	2.867573	2.882339	2.968282
0.600000	3.186685	3.482439	3.504068	3.620117
0.700000	3.804022	4.221575	4.252379	4.405200
0.800000	4.534826	5.112322	5.155296	5.353032
0.900000	5.401791	6.188033	6.247048	6.499647
1.000000	6.432150	7.489400	7.569445	7.889056
