t(i)		  Euler		 opt.Euler	 Runge		 f(i)
0.000000	1.000000	1.000000	1.000000	1.000000
0.100000	1.039867	1.044560	1.044690	1.037931
0.200000	1.089119	1.099374	1.099691	1.085714
0.300000	1.148655	1.165571	1.166148	1.144444
0.400000	1.219488	1.244451	1.245381	1.215385
0.500000	1.302770	1.337517	1.338919	1.300000
0.600000	1.399809	1.446522	1.448547	1.400000
0.700000	1.512107	1.573520	1.576361	1.517391
0.800000	1.641389	1.720929	1.724835	1.654545
0.900000	1.789647	1.891625	1.896916	1.814286
1.000000	1.959201	2.089045	2.096137	2.000000
