t(i)		  RK		 RKF 		 RKF_		 error		 f(i)
1.000000	2.000000	2.000000	2.000000	0.000000	2.000000
1.156000	2.313247	2.313947	2.313247	0.000700	2.313278
1.312000	2.626555	2.627477	2.627274	0.000203	2.634534
1.468000	2.947910	2.948594	2.948905	0.000311	2.973452
1.624000	3.287017	3.286880	3.287795	0.000916	3.343965
1.780000	3.657859	3.655961	3.657692	0.001731	3.769262
1.936000	4.083732	4.078257	4.081258	0.003000	4.293798
2.092000	4.609345	4.596156	4.601487	0.005331	5.018478
2.248000	5.336284	5.303997	5.314554	0.010557	6.237575
2.404000	6.560904	6.468352	6.494195	0.025844	9.343634
2.560000	9.670709	9.284922	9.367998	0.083076	96.180496
